	B6_rep1	B6_rep2	B6_rep3	D2_rep1	D2_rep2	D2_rep3
Clmn	603	599	477	281	338	314
Clmp	509	453	331	325	342	360
Cln3	786	798	612	634	656	672
Cln5	1333	1259	907	883	942	1015
Cln6	835	707	484	484	574	700
Cln8	1237	1321	912	895	897	975
Clnk	18	6	14	16	12	12
Clnkos	1	3	0	1	4	0
Clns1a	1988	1960	1454	1296	1459	1628
Clock	9095	8346	6257	6031	6820	7314
Clp1	1166	935	692	615	694	798
Clpb	2596	2446	1898	1740	1876	2147
Clpp	1437	1270	959	980	1002	1129
Clps	0	0	0	0	1	1
Clpsl2	0	0	0	0	0	0
Clptm1	5336	5272	3918	3657	3941	4261
Clptm1l	2413	2303	1745	1586	1755	1842
Clpx	3626	3359	2393	2543	2905	3159
Clrn1	354	374	238	184	247	287
Clrn2	3	3	2	1	3	4
Clrn3	0	0	1	0	1	0
Clspn	15	19	12	10	13	14
Clstn1	61762	56418	44120	39107	41319	46305
Clstn2	951	836	630	577	681	696
Clstn3	4008	3876	2866	3077	3437	3810
Clta	5422	5202	4017	4369	4616	5279
Cltb	6019	5801	4110	4036	4320	4824
Cltc	29417	26571	21097	18062	20614	21668
Clu	15175	14863	10359	7212	7585	8488
Cluap1	1610	1560	1297	1207	1309	1485
Cluh	2435	2276	1841	1661	1774	1801
Clvs1	934	840	603	535	585	644
Clvs2	203	243	135	125	117	155
Clybl	200	215	157	113	144	149
Cma1	0	0	0	0	1	1
Cma2	0	0	0	0	0	0
Cmah	33	49	54	19	28	27
Cmas	2259	2076	1371	1570	1790	2013
Cmbl	132	137	85	66	75	83
Cmc1	379	406	235	255	306	322
Cmc2	311	311	219	207	214	219
Cmc4	368	379	262	280	280	318
Cmip	925	982	750	701	796	737
Cmklr1	19	21	8	15	11	16
Cmpk1	3764	3617	2432	2493	2743	3201
Cmpk2	740	638	440	449	490	505
Cmss1	169	202	138	127	151	148
Cmtm1	1	0	0	0	1	0
Cmtm2a	0	0	0	0	0	0
Cmtm2b	0	1	0	0	0	0
Cmtm3	76	64	51	34	31	32
Cmtm4	6049	5590	4437	4258	4651	4904
Cmtm5	56	53	41	69	98	98
Cmtm6	886	817	564	568	590	622
Cmtm7	29	31	18	25	18	31
Cmtm8	86	87	76	76	66	72
Cmtr1	6651	6524	4796	4716	5388	5747
Cmtr2	1026	855	627	567	583	638
Cmya5	53	63	35	18	29	22
Cnbd1	0	1	0	1	0	0
Cnbd2	931	841	660	758	824	889
Cnbp	13645	12903	8953	9010	10287	11435
Cndp1	8	12	0	5	3	5
Cndp2	2211	2234	1493	1345	1438	1598
Cnep1r1	561	556	435	359	472	439
Cnfn	11	11	7	1	7	5
Cnga1	41622	39956	30112	26887	30336	34118
Cnga2	4	3	3	0	1	0
Cnga3	670	627	506	240	293	348
Cnga4	33	23	18	11	17	15
Cngb1	28612	27376	21955	21155	23937	25259
Cngb3	1431	1446	1060	903	947	991
Cnih1	2845	2616	1967	1889	1982	2310
Cnih2	722	692	485	532	596	639
Cnih3	217	196	133	122	172	160
Cnih4	1695	1596	1156	1114	1312	1328
Cnksr1	162	140	105	64	82	80
Cnksr2	1462	1274	1011	916	996	1073
Cnksr3	452	427	304	295	315	359
Cnn1	16	14	12	26	21	21
Cnn2	103	123	87	58	74	64
Cnn3	2865	2895	1928	1572	1631	1813
Cnnm1	1348	1276	928	786	846	929
Cnnm2	1203	1201	925	810	900	974
Cnnm3	839	929	669	717	734	745
Cnnm4	4193	4081	3068	2610	2927	3157
Cnot1	7267	7149	5427	4610	5361	5575
Cnot10	3080	2761	2295	2167	2550	2712
Cnot11	1756	1697	1219	1107	1212	1360
Cnot2	4345	4127	3095	2876	3212	3585
Cnot3	913	979	765	706	793	846
Cnot4	1824	1784	1298	1238	1345	1446
Cnot6	9361	8734	6796	5942	6788	7260
Cnot6l	4697	4353	3370	2950	3443	3603
